Date,Température
01/07/17,67.7
02/07/17,68.6
03/07/17,67.9
04/07/17,79.6
05/07/17,83.8
06/07/17,74.2
07/07/17,76.1
08/07/17,67.4
09/07/17,78.1
10/07/17,75.8
11/07/17,87.0
12/07/17,94.9
13/07/17,77.0
14/07/17,72.4
15/07/17,76.9
16/07/17,73.4
17/07/17,72.9
18/07/17,82.0
19/07/17,77.5
20/07/17,80.3
21/07/17,68.4
22/07/17,76.6
23/07/17,73.4
24/07/17,85.1
25/07/17,79.1
26/07/17,76.8
27/07/17,76.6
28/07/17,79.6
29/07/17,74.3
30/07/17,71.5
31/07/17,72.9
01/08/17,78.7
02/08/17,78.8
03/08/17,67.1
04/08/17,66.5
05/08/17,80.7
06/08/17,77.7
07/08/17,82.5
08/08/17,81.2
09/08/17,75.9
10/08/17,78.0
11/08/17,78.3
12/08/17,71.8
13/08/17,67.2
14/08/17,83.5
15/08/17,79.2
16/08/17,72.8
17/08/17,80.3
18/08/17,77.6
19/08/17,82.9
20/08/17,85.6
21/08/17,87.6
Erreur,1893
22/08/17,79.4
23/08/17,84.1
24/08/17,71.5
25/08/17,70.3
26/08/17,69.8
27/08/17,78.2
28/08/17,80.5
29/08/17,75.6
30/08/17,78.6
31/08/17,81.9
